ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
27609,0.31,0.04,0.1,0.0,0.0,0.01,0.02,0.01,0.1,0.05,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.22,0.66,0.08,0.23
85562,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.2,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.28,0.18,0.47,0.3
206925,0.07,0.07,0.09,0.03,0.0,0.01,0.0,0.0,0.06,0.02,0.0,0.01,0.0,0.0,0.07,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.44,0.36,0.13,0.49
15432,0.38,0.0,0.15,0.0,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.0,0.16,0.59,0.07,0.31
12675,0.09,0.03,0.13,0.01,0.0,0.02,0.03,0.0,0.09,0.09,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.37,0.5,0.11,0.39
367243,0.15,0.1,0.13,0.0,0.01,0.03,0.0,0.0,0.19,0.04,0.0,0.02,0.01,0.01,0.04,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.16,0.68,0.14,0.19
7682,0.09,0.03,0.11,0.0,0.02,0.01,0.0,0.0,0.08,0.03,0.0,0.01,0.0,0.01,0.04,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.39,0.38,0.14,0.45
155689,0.14,0.05,0.08,0.0,0.01,0.02,0.02,0.02,0.14,0.06,0.0,0.02,0.0,0.0,0.03,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.28,0.56,0.14,0.3
7176,0.17,0.03,0.09,0.0,0.03,0.01,0.01,0.0,0.05,0.1,0.0,0.01,0.0,0.0,0.03,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.31,0.5,0.12,0.36
280979,0.26,0.02,0.07,0.0,0.04,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.46,0.47,0.01,0.5
158818,0.11,0.15,0.07,0.0,0.0,0.0,0.01,0.01,0.07,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.01,0.01,0.0,0.06,0.0,0.01,0.0,0.08,0.0,0.02,0.0,0.3,0.43,0.21,0.32
